"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aegis","RED Canids","Jungle",2,"50%","50%",7,10,16,2.3,"54.8%","16.7%","28.6%","0%",85,257,4,5.9,"19.5%",308,"13.0%","14.1%",218,"17.7%",0,0.4,0.19,0.37
"Aithusa","INTZ","Middle",2,"50%","50%",14,8,19,4.1,"78.6%","33.3%","21.6%","50%",299,698,10,7.3,"25.0%",814,"29.0%","28.6%",267,"24.3%",0,0.55,0.2,0.4
"Ayu","FURIA","ADC",2,"50%","50%",11,3,9,6.7,"58.8%","32.4%","9.7%","0%",420,236,4.5,8.7,"30.5%",515,"21.4%","24.7%",286,"23.7%",0,0.45,0.19,0.17
"Brance","RED Canids","ADC",2,"50%","0%",18,6,14,5.3,"76.2%","42.9%","17.1%","50%",574,157,-1,7.8,"28.1%",903,"37.0%","38.0%",328,"27.2%",0,0.71,0.22,0.47
"CarioK","paiN Gaming","Jungle",2,"50%","0%",8,5,15,4.6,"65.7%","22.9%","16.1%","50%",23,-298,-9,5.7,"16.9%",380,"15.1%","15.4%",240,"19.3%",0,0.37,0.28,0.42
"Cavalo","Liberty","Support",2,"50%","50%",1,13,18,1.5,"73.1%","3.8%","27.7%","0%",-354,131,6.5,1.3,"3.1%",196,"9.5%","8.3%",115,"10.3%",0,1.86,0.47,0.61
"Celo","Los Grandes","ADC",2,"50%","0%",8,3,5,4.3,"65.0%","40.0%","14.3%","50%",1081,565,19.5,9.5,"29.5%",350,"21.2%","19.2%",310,"27.4%",0,0.43,0.17,0.29
"Ceos","KaBuM! Esports","Support",2,"50%","50%",1,1,11,12,"75.0%","6.3%","4.8%","0%",-14,232,-5,1.2,"3.4%",99,"5.9%","5.1%",107,"9.7%",0,1.99,0.43,0.56
"Croc","LOUD","Jungle",2,"50%","50%",3,7,10,1.9,"56.5%","13.0%","25.9%","50%",156,181,7.5,6.1,"16.4%",244,"15.0%","11.9%",221,"17.9%",2,0.29,0.25,0.43
"Damage","INTZ","Support",2,"50%","0%",1,10,37,3.8,"90.5%","2.4%","27.0%","50%",38,-54,-3,0.9,"1.9%",184,"6.5%","6.1%",110,"10.0%",0,2.34,0.52,0.47
"Destroy","FURIA","Top",2,"50%","50%",2,5,4,1.2,"17.6%","5.9%","16.1%","0%",-337,-487,-9,6.9,"19.5%",534,"21.3%","20.0%",206,"17.8%",0,0.33,0.22,0.21
"Disamis","Vivo Keyd Stars","Jungle",2,"50%","100%",1,3,14,5,"75.0%","5.0%","17.6%","0%",-356,-74,-1.5,5.9,"16.0%",165,"9.4%","9.5%",189,"15.9%",0,0.24,0.24,0.47
"Drakehero","Liberty","Jungle",2,"50%","50%",4,11,18,2,"84.6%","15.4%","23.4%","0%",-414,-177,-5.5,5.7,"17.9%",279,"13.7%","14.1%",198,"18.6%",0,0.26,0.25,0.49
"dyNquedo","paiN Gaming","Middle",2,"50%","100%",8,4,21,7.3,"82.9%","22.9%","12.9%","50%",107,80,0.5,8.3,"23.2%",731,"30.3%","32.7%",282,"23.0%",0,0.38,0.3,0.4
"Envy","Los Grandes","Middle",2,"50%","50%",5,4,6,2.8,"55.0%","25.0%","19.0%","0%",50,-13,1,9.3,"29.2%",647,"39.2%","43.3%",287,"25.6%",0,0.45,0.16,0.12
"fNb","RED Canids","Top",2,"50%","50%",3,4,23,6.5,"61.9%","7.1%","11.4%","0%",-134,-75,-3.5,7.3,"24.2%",396,"16.0%","13.9%",264,"21.4%",0,0.43,0.19,0.3
"Fuuu","Fluxo","Middle",2,"50%","100%",11,4,7,4.5,"64.3%","39.3%","19.0%","0%",-159,-196,-7,7.8,"21.8%",536,"23.2%","22.1%",290,"23.6%",0,0.42,0.28,0.19
"Grevthar","RED Canids","Middle",2,"50%","50%",11,5,20,6.2,"73.8%","26.2%","14.3%","0%",7,-540,-10,7.8,"26.3%",640,"26.7%","27.7%",280,"22.6%",0,0.42,0.21,0.36
"GUIGO","Vivo Keyd Stars","Top",2,"50%","50%",6,3,8,4.7,"70.0%","30.0%","17.6%","0%",82,-129,4.5,9.1,"27.4%",429,"24.5%","22.3%",273,"23.6%",0,0.33,0.1,0.29
"Hauz","KaBuM! Esports","Middle",2,"50%","0%",4,5,6,2,"62.5%","25.0%","23.8%","50%",485,-284,-1,8.9,"26.6%",580,"35.4%","39.2%",257,"24.0%",0,0.21,0.09,0.21
"Jojo","RED Canids","Support",2,"50%","100%",3,10,31,3.4,"81.0%","7.1%","28.6%","50%",147,-36,-3,1,"1.8%",174,"7.3%","6.2%",134,"11.0%",0,1.78,0.56,0.33
"kabbie","Los Grandes","Support",2,"50%","50%",0,5,17,3.4,"85.0%","0.0%","23.8%","50%",316,408,4,1.4,"4.0%",158,"9.5%","7.9%",131,"11.2%",0,2.81,0.5,0.72
"Kiari","Fluxo","Top",2,"50%","0%",5,2,13,9,"64.3%","17.9%","9.5%","0%",425,507,7.5,8.5,"25.8%",640,"28.8%","27.8%",299,"25.0%",0,0.42,0.11,0.24
"kojima","Fluxo","ADC",2,"50%","50%",4,5,8,2.4,"42.9%","14.3%","23.8%","0%",-1145,-547,-24,8.9,"32.6%",463,"20.7%","22.9%",263,"21.7%",0,0.38,0.12,0.45
"Kuri","paiN Gaming","Support",2,"50%","0%",0,7,25,3.6,"71.4%","0.0%","22.6%","0%",-536,-216,1.5,1.1,"1.5%",112,"4.6%","4.2%",121,"9.7%",0,1.75,0.42,0.37
"Lonely","KaBuM! Esports","Top",2,"50%","50%",2,8,9,1.4,"68.8%","12.5%","38.1%","0%",-692,-318,-5,8.2,"24.7%",399,"24.3%","20.2%",233,"21.7%",0,0.48,0.21,0.16
"Makes","Liberty","Top",2,"50%","50%",3,6,13,2.7,"61.5%","11.5%","12.8%","0%",162,395,9,7.5,"22.4%",453,"21.9%","19.4%",224,"19.9%",0,0.4,0.08,0.19
"Malrang","KaBuM! Esports","Jungle",2,"50%","50%",3,4,8,2.8,"68.8%","18.8%","19.0%","50%",177,-46,0.5,5.7,"13.8%",158,"9.7%","11.4%",188,"17.0%",0,0.36,0.29,0.43
"micaO","Liberty","ADC",2,"50%","100%",6,13,7,1,"50.0%","23.1%","27.7%","0%",-353,-324,-1.5,7.9,"26.6%",465,"21.5%","21.1%",243,"21.0%",0,0.39,0.06,0.19
"Mir","FURIA","Jungle",2,"50%","0%",5,10,19,2.4,"70.6%","14.7%","32.3%","100%",180,-304,-8,5.4,"17.3%",354,"17.2%","18.3%",206,"18.3%",0,0.36,0.36,0.29
"Netuno","KaBuM! Esports","ADC",2,"50%","100%",6,3,5,3.7,"68.8%","37.5%","14.3%","0%",288,175,6.5,9.9,"31.6%",416,"24.8%","24.1%",303,"27.6%",0,0.34,0.09,0.39
"NinjaKiwi","INTZ","ADC",2,"50%","50%",14,7,22,5.1,"85.7%","33.3%","18.9%","50%",283,65,-2.5,8.8,"32.8%",787,"27.8%","29.6%",317,"28.6%",0,0.39,0.14,0.57
"Piloto","Liberty","Middle",2,"50%","0%",12,4,9,5.3,"80.8%","46.2%","8.5%","0%",-357,-375,-5.5,8.6,"30.0%",705,"33.5%","37.1%",331,"30.1%",0,0.28,0.17,0.33
"ProDelta","Vivo Keyd Stars","Support",2,"50%","50%",3,5,14,3.4,"85.0%","15.0%","29.4%","0%",-56,18,-4,1.4,"3.7%",263,"14.7%","12.0%",148,"12.4%",0,2.57,0.42,0.86
"RedBert","LOUD","Support",2,"50%","100%",5,5,15,4,"87.0%","21.7%","18.5%","0%",393,22,5.5,1.2,"1.5%",201,"11.7%","12.0%",163,"13.2%",0,1.72,0.47,0.18
"Robo","LOUD","Top",2,"50%","0%",3,9,9,1.3,"52.2%","13.0%","33.3%","50%",-71,173,-6.5,7.5,"22.4%",301,"17.9%","16.3%",244,"19.8%",0,0.4,0.11,0.13
"Route","LOUD","ADC",2,"50%","0%",6,3,10,5.3,"69.6%","26.1%","11.1%","0%",78,-150,-6.5,8.9,"31.4%",467,"27.0%","30.4%",303,"24.8%",0,0.97,0.25,0.45
"scamber","Fluxo","Support",2,"50%","50%",0,5,20,4,"71.4%","0.0%","23.8%","0%",-294,-545,-2,0.9,"1.8%",154,"6.7%","5.7%",110,"9.1%",0,1.97,0.64,0.3
"Seize","Los Grandes","Jungle",2,"50%","0%",3,3,12,5,"75.0%","15.0%","14.3%","100%",-93,-266,-10.5,5.1,"12.5%",178,"10.7%","12.0%",180,"15.7%",1,0.38,0.35,0.31
"SMILEY","Vivo Keyd Stars","ADC",2,"50%","50%",6,2,6,6,"60.0%","30.0%","11.8%","0%",-176,-54,8,10.5,"31.2%",436,"24.7%","27.5%",310,"26.4%",0,0.44,0.12,0.46
"Sting","Fluxo","Jungle",2,"50%","100%",8,5,14,4.4,"78.6%","28.6%","23.8%","0%",70,517,15.5,6.4,"18.0%",447,"20.6%","21.5%",246,"20.5%",0,0.29,0.29,0.35
"SuperCleber","Los Grandes","Top",2,"50%","100%",4,6,1,0.8,"25.0%","20.0%","28.6%","50%",131,45,-2,7.9,"24.9%",320,"19.4%","17.6%",223,"20.1%",0,0.4,0.17,0.09
"Tay","INTZ","Top",2,"50%","50%",8,3,9,5.7,"40.5%","19.0%","8.1%","0%",-129,-303,-1,7.3,"25.2%",388,"13.8%","12.0%",237,"21.4%",0,0.42,0.28,0.2
"tinowns","LOUD","Middle",2,"50%","50%",6,3,9,5,"65.2%","26.1%","11.1%","0%",-185,117,4,9.2,"28.4%",475,"28.4%","29.5%",298,"24.2%",0,0.41,0.31,0.25
"TitaN","paiN Gaming","ADC",2,"50%","100%",8,10,17,2.5,"71.4%","22.9%","32.3%","0%",-1049,-122,-3,9.3,"32.5%",534,"20.6%","20.1%",302,"24.6%",0,0.55,0.2,0.52
"toucouille","Vivo Keyd Stars","Middle",2,"50%","50%",4,4,7,2.8,"55.0%","20.0%","23.5%","0%",-408,344,0.5,8.7,"21.7%",480,"26.7%","28.7%",260,"21.7%",0,0.33,0.12,0.17
"Tutsz","FURIA","Middle",2,"50%","50%",5,9,17,2.4,"64.7%","14.7%","29.0%","0%",162,168,7.5,8.5,"28.0%",695,"30.8%","29.0%",300,"26.4%",0,0.4,0.19,0.09
"Wizer","paiN Gaming","Top",2,"50%","100%",11,5,16,5.4,"77.1%","31.4%","16.1%","50%",563,192,6,8.3,"25.8%",753,"29.4%","27.5%",287,"23.3%",0,0.55,0.26,0.21
"Yampi","INTZ","Jungle",2,"50%","100%",5,9,30,3.9,"83.3%","11.9%","24.3%","50%",173,208,7,5,"15.1%",637,"22.8%","23.8%",173,"15.7%",1,0.28,0.24,0.2
"zay","FURIA","Support",2,"50%","50%",11,4,10,5.3,"61.8%","32.4%","12.9%","50%",360,41,-0.5,1.4,"4.7%",255,"9.3%","7.9%",183,"13.8%",0,1.96,0.48,0.6
